SCODE,Year,FEM_NUM,FEM_RTO,BOARDSIZE,IDOUT_RTO,IDOUT_NUM,AGE_AVERAGE,BRD_AGEMAX_B,BRD_AGEMIN_B,NKILM,ROA,ASS_ROA,ASS,DASS,FRAUD
6675,2018,0,0,10,20,2,59,66,56,23,4.70366,40798,40547,40.9,1
8013,2018,0,0,6,33.3,2,61,71,53,43,3.44448,14516,14731,34.2,1
4427,2019,2,11.8,12,16.7,2,50,60,44,71,12.21505,12853,16272,50.7,1
1982,2017,0,0,9,33.3,3,64,77,60,41,4.37108,93661,83550,29.9,1
4923,2020,1,10,7,28.6,2,54,60,44,7,16.00039,10356,11585,25.9,1
6740,2019,0,0,5,40,2,63,76,59,23,-10.72568,538502,389746,86.3,1
1762,2017,0,0,16,12.5,2,63,80,40,41,7.57322,180927,184914,38.4,1
3036,2020,3,27.3,7,42.9,3,65,84,48,43,4.25247,134463,147917,70.7,1
9903,2017,2,20,7,28.6,2,60,71,52,45,2.9481,26322,26253,76,1
2402,2019,2,15.4,10,0,0,53,68,42,71,0.08774,12537,11816,86.1,1
2178,2018,0,0,7,42.9,3,57,70,49,71,1.50952,18019,16296,56.8,1
6548,2018,2,18.2,8,12.5,1,46,64,35,71,7.97032,4178,6903,79.6,1
7997,2017,0,0,9,11.1,1,67,84,49,33,-0.47788,11300,10862,61.3,1
9964,2017,1,8.3,9,11.1,1,59,87,35,43,6.9496,59802,65374,55.5,1
7958,2019,0,0,9,33.3,3,58,75,42,7,3.91475,91960,94542,21.6,1
7518,2017,1,7.7,9,33.3,3,63,74,56,71,8.14396,103365,106827,43.5,1
6050,2018,0,0,7,42.9,3,49,59,41,71,31.18223,3781,4598,24.1,1
2901,2017,0,0,6,50,3,61,71,52,1,5.2356,191,1541,83.5,1
7958,2018,0,0,7,28.6,2,62,74,44,7,3.41492,92330,92246,18.7,1
3036,2017,0,0,8,25,2,71,81,59,43,6.98567,113647,130603,70.4,1
6181,2019,1,8.3,9,22.2,2,45,55,37,71,1.2123,3382,5484,81.3,1
3647,2017,1,16.7,6,42.9,3,48,57,37,71,9.94877,7418,9705,80.6,1
8013,2017,0,0,6,33.3,2,60,70,52,43,3.35609,14064,14516,32.7,1
9059,2017,1,9.1,8,25,2,62,84,49,57,4.97517,36441,39610,58.4,1
9632,2017,1,7.1,14,21.4,3,59,64,48,71,14.14245,22535,25754,18.1,1
5915,2018,0,0,7,28.6,2,64,76,58,19,3.68493,58183,54046,48.8,1
6570,2019,2,22.2,9,33.3,3,61,65,54,71,3.09497,10824,10308,68.4,1
7643,2017,0,0,8,12.5,1,65,71,53,45,7.86908,17537,17880,38.6,1
9632,2018,1,7.1,14,21.4,3,60,65,49,71,11.19438,25754,26830,17.1,1
6706,2018,0,0,8,25,2,59,71,50,23,4.77086,61687,62437,26.4,1
6030,2019,3,37.5,5,25,1,43,49,35,71,2.0618,17024,16908,91.3,1
2402,2018,2,18.2,8,0,0,52,67,41,71,3.7121,11907,12594,85.4,1
2178,2019,0,0,8,37.5,3,59,71,50,71,2.47929,16295,15480,55.3,1
3023,2020,1,12.5,8,25,2,62,75,44,43,7.94753,30110,31408,43.7,1
7769,2018,0,0,7,42.9,3,64,72,59,31,2.24772,40619,39812,29.7,1
6541,2018,1,11.1,6,16.7,1,50,63,43,71,36.12863,1586,1842,21.1,1
